City;Couleur;Forme;State;Time;Date;Heure
Portland;;CHEVRON;OR;6/15/1996 15:00;15/6/1996;15:00
Butler;;CIRCLE;PA;6/15/1996 19:00;15/6/1996;19:00
Dundee;;CROSS;NY;6/15/1996 19:00;15/6/1996;19:00
Clinton;BLUE;CIRCLE;IL;6/15/1996 21:00;15/6/1996;21:00
Newport Beach;;DISK;CA;6/15/1996 21:00;15/6/1996;21:00
Woodbridge;;LIGHT;NJ;6/15/1996 21:00;15/6/1996;21:00
Millbury;;LIGHT;MA;6/15/1996 21:30;15/6/1996;21:30
Coeur d'Alene;;FORMATION;ID;6/15/1996 22:00;15/6/1996;22:00
Fayetteville;GREEN;OTHER;NC;6/15/1996 22:00;15/6/1996;22:00
Jeckyll Island;;CIRCLE;GA;6/15/1996 22:00;15/6/1996;22:00
Lodi;;TRIANGLE;CA;6/15/1996 22:00;15/6/1996;22:00
Valley Springs;;TRIANGLE;CA;6/15/1996 23:00;15/6/1996;23:00
Eau Claire;ORANGE;RECTANGLE;WI;6/15/1996 23:02;15/6/1996;23:02
Moses Lake;;VARIOUS;WA;6/16/1996 1:30;16/6/1996;1:30
Dyer;;DIAMOND;IN;6/17/1996 14:45;17/6/1996;14:45
San Diego;;LIGHT;CA;6/17/1996 16:00;17/6/1996;16:00
San Diego;;CIRCLE;CA;6/18/1996 8:26;18/6/1996;8:26
Alabama;;FIREBALL;AL;6/18/1996 17:30;18/6/1996;17:30
Seattle;BLUE;VARIOUS;WA;6/19/1996 1:00;19/6/1996;1:00
Bremerton;;VARIOUS;WA;6/19/1996 1:05;19/6/1996;1:05
Bremerton;GREEN;VARIOUS;WA;6/19/1996 1:05;19/6/1996;1:05
Fort Collins;;TRIANGLE;CO;6/19/1996 3:00;19/6/1996;3:00
Tampa;;DISK;FL;6/19/1996 10:00;19/6/1996;10:00
Oakley;RED;VARIOUS;CA;6/20/1996 0:00;20/6/1996;0:00
Snohomish;;VARIOUS;WA;6/20/1996 0:00;20/6/1996;0:00
Renton;;VARIOUS;WA;6/20/1996 2:00;20/6/1996;2:00
Kanab;;FIREBALL;UT;6/20/1996 20:00;20/6/1996;20:00
Fort Myers;;LIGHT;FL;6/20/1996 22:00;20/6/1996;22:00
Palm Springs;RED;VARIOUS;CA;6/21/1996 3:20;21/6/1996;3:20
Winchester;;CONE;VA;6/21/1996 22:30;21/6/1996;22:30
Buckhannon;;TRIANGLE;WV;6/22/1996 22:30;22/6/1996;22:30
Garland;;VARIOUS;TX;6/22/1996 23:15;22/6/1996;23:15
Payson;;LIGHT;AZ;6/23/1996 1:30;23/6/1996;1:30
Cascade Mtns.;BLUE;VARIOUS;WA;6/23/1996 11:00;23/6/1996;11:00
Santa Paula;;VARIOUS;CA;6/23/1996 19:30;23/6/1996;19:30
Aurora;RED BLUE;VARIOUS;CO;6/24/1996 0:30;24/6/1996;0:30
Philadelphia;;LIGHT;PA;6/24/1996 7:00;24/6/1996;7:00
Smryna;;OVAL;GA;6/24/1996 15:00;24/6/1996;15:00
Redmond;;VARIOUS;WA;6/24/1996 22:30;24/6/1996;22:30
Washington;;DIAMOND;MO;6/25/1996 1:00;25/6/1996;1:00
Clinton;;VARIOUS;CT;6/27/1996 3:37;27/6/1996;3:37
Baltimore;;VARIOUS;MD;6/28/1996 3:00;28/6/1996;3:00
Tempe;;VARIOUS;AZ;6/28/1996 19:00;28/6/1996;19:00
Walled Lake;;LIGHT;MI;6/28/1996 22:00;28/6/1996;22:00
East Providence;;LIGHT;RI;6/29/1996 21:00;29/6/1996;21:00
East Providence;;LIGHT;RI;6/29/1996 22:00;29/6/1996;22:00
Nacagdoches;;LIGHT;TX;6/29/1996 23:47;29/6/1996;23:47
Salt Lake City;;CIRCLE;UT;6/30/1996 0:00;30/6/1996;0:00
Voorhees;GREEN;DISK;NJ;6/30/1996 0:00;30/6/1996;0:00
Lake Havasu City;;OTHER;AZ;6/30/1996 1:10;30/6/1996;1:10
Sacramento;;LIGHT;CA;6/30/1996 3:00;30/6/1996;3:00
Blackwood;;DISK;NJ;6/30/1996 7:00;30/6/1996;7:00
Weare;;LIGHT;NH;6/30/1996 21:00;30/6/1996;21:00
Chicago;;VARIOUS;IL;6/30/1996 22:00;30/6/1996;22:00
Hedgesville;;DISK;WV;6/30/1996 22:30;30/6/1996;22:30
Panama City Beach;;LIGHT;FL;7/1/1996 0:00;1/7/1996;0:00
Lake George;;LIGHT;NY;7/1/1996 3:00;1/7/1996;3:00
Yakima;;VARIOUS;WA;7/1/1996 12:00;1/7/1996;12:00
Los Angeles;;FORMATION;CA;7/1/1996 13:00;1/7/1996;13:00
Cypress;;OVAL;CA;7/1/1996 18:00;1/7/1996;18:00
Albany;;EGG;OR;7/1/1996 19:00;1/7/1996;19:00
Bovina;ORANGE GREEN;VARIOUS;TX;7/1/1996 19:00;1/7/1996;19:00
Katy;;DIAMOND;TX;7/1/1996 20:00;1/7/1996;20:00
Lumpkin;;DISK;GA;7/1/1996 22:00;1/7/1996;22:00
Brunswick;;LIGHT;ME;7/1/1996 23:00;1/7/1996;23:00
Monroe;;TRIANGLE;WA;7/1/1996 23:00;1/7/1996;23:00
Mt. Morris Township;;DISK;MI;7/2/1996 18:00;2/7/1996;18:00
Stoughton;;LIGHT;WI;7/3/1996 2:00;3/7/1996;2:00
Union City;GREEN;OTHER;PA;7/3/1996 5:00;3/7/1996;5:00
Hoh Rain Forest;;DISK;WA;7/3/1996 10:00;3/7/1996;10:00
University Place;;FIREBALL;WA;7/3/1996 10:00;3/7/1996;10:00
Beach;;DISK;ND;7/3/1996 11:30;3/7/1996;11:30
Salmon River;;LIGHT;ID;7/3/1996 23:00;3/7/1996;23:00
South Amboy;RED BLUE;TRIANGLE;NJ;7/4/1996 12:00;4/7/1996;12:00
Fayetteville;;VARIOUS;AR;7/4/1996 19:35;4/7/1996;19:35
Goshen;;LIGHT;NY;7/4/1996 21:30;4/7/1996;21:30
Wilmington;RED;TRIANGLE;NC;7/4/1996 22:00;4/7/1996;22:00
San Angelo;RED;LIGHT;TX;7/4/1996 23:30;4/7/1996;23:30
Traverse City;;OTHER;MI;7/4/1996 23:30;4/7/1996;23:30
Oak Hill;;FIREBALL;WV;7/5/1996 0:00;5/7/1996;0:00
Springfield;RED;CIRCLE;MA;7/5/1996 18:15;5/7/1996;18:15
Camden;ORANGE;OVAL;NJ;7/5/1996 22:00;5/7/1996;22:00
Newport;;VARIOUS;PA;7/5/1996 22:00;5/7/1996;22:00
Brinnon;;OVAL;WA;7/6/1996 23:00;6/7/1996;23:00
St. Louis;;TRIANGLE;MO;7/9/1996 23:30;9/7/1996;23:30
IndIan Nation Turnpike;;FIREBALL;OK;7/10/1996 1:30;10/7/1996;1:30
Cumming;;RECTANGLE;GA;7/10/1996 2:30;10/7/1996;2:30
Kenosha;;OTHER;WI;7/11/1996 0:40;11/7/1996;0:40
Pensacola Beach;;SPHERE;FL;7/14/1996 14:00;14/7/1996;14:00
Bountiful;;TRIANGLE;UT;7/15/1996 0:35;15/7/1996;0:35
Jacksonville;BLUE;LIGHT;IL;7/15/1996 1:30;15/7/1996;1:30
Kalamazoo;;OTHER;MI;7/15/1996 5:30;15/7/1996;5:30
Ellensburg;;RECTANGLE;WA;7/15/1996 13:30;15/7/1996;13:30
Conway;GREEN;OTHER;MO;7/15/1996 14:00;15/7/1996;14:00
Sussex;;TRIANGLE;NJ;7/15/1996 17:15;15/7/1996;17:15
Alamogordo;YELLOW;VARIOUS;NM;7/15/1996 19:30;15/7/1996;19:30
Sussex City;;OTHER;NJ;7/15/1996 20:30;15/7/1996;20:30
Amarillo;;OTHER;TX;7/15/1996 21:00;15/7/1996;21:00
Camden;ORANGE;CIRCLE;NJ;7/15/1996 22:00;15/7/1996;22:00
Sioux City;;TRIANGLE;IA;7/15/1996 22:00;15/7/1996;22:00
Tucson;;OTHER;AZ;7/15/1996 23:00;15/7/1996;23:00
Eau Claire;ORANGE;VARIOUS;WI;7/15/1996 23:02;15/7/1996;23:02
Gothenburg;;CIRCLE;NE;7/15/1996 23:30;15/7/1996;23:30
I-5;;DIAMOND;CA;7/17/1996 1:35;17/7/1996;1:35
Saline;;OTHER;MI;7/17/1996 20:45;17/7/1996;20:45
Winchester;;CONE;VA;7/18/1996 9:58;18/7/1996;9:58
Northampton;ORANGE;DISK;PA;7/19/1996 10:45;19/7/1996;10:45
Clear Lake;;TEARDROP;TX;7/20/1996 22:00;20/7/1996;22:00
Miami Beach;GREEN;TRIANGLE;FL;7/23/1996 21:32;23/7/1996;21:32
Danville;;DISK;VA;7/23/1996 22:30;23/7/1996;22:30
Seattle;;RECTANGLE;WA;7/24/1996 16:00;24/7/1996;16:00
Metalline Falls;;FIREBALL;WA;7/24/1996 23:10;24/7/1996;23:10
Rush City;;VARIOUS;MN;7/25/1996 1:30;25/7/1996;1:30
Winona;;FLASH;MN;7/30/1996 1:30;30/7/1996;1:30
Gilroy;;LIGHT;CA;7/30/1996 11:00;30/7/1996;11:00
Crestview;;TRIANGLE;FL;7/30/1996 14:00;30/7/1996;14:00
North Little Rock;;TRIANGLE;AR;7/30/1996 22:00;30/7/1996;22:00
East Setauket;;OTHER;NY;7/31/1996 21:00;31/7/1996;21:00
Beaverton;;DISK;OR;8/1/1996 0:00;1/8/1996;0:00
Independence;;TRIANGLE;MO;8/1/1996 2:00;1/8/1996;2:00
Raton;;LIGHT;NM;8/1/1996 2:00;1/8/1996;2:00
Sandy;BLUE;LIGHT;UT;8/1/1996 12:00;1/8/1996;12:00
San Jose;;FIREBALL;CA;8/1/1996 16:00;1/8/1996;16:00
Pueblo;;TRIANGLE;CO;8/1/1996 17:00;1/8/1996;17:00
Granite City;;SPHERE;IL;8/1/1996 17:45;1/8/1996;17:45
Durant;;TRIANGLE;OK;8/1/1996 19:00;1/8/1996;19:00
Hastings;;FLASH;MN;8/1/1996 20:00;1/8/1996;20:00
Canandaigua;RED;TRIANGLE;NY;8/1/1996 20:30;1/8/1996;20:30
Ellsworth;;CHEVRON;ME;8/1/1996 21:00;1/8/1996;21:00
Waterbury;;RECTANGLE;CT;8/1/1996 21:00;1/8/1996;21:00
Bishop;;TRIANGLE;CA;8/1/1996 21:30;1/8/1996;21:30
Newberg;;OTHER;OR;8/1/1996 22:00;1/8/1996;22:00
Woodlawn;;DISK;MD;8/1/1996 22:15;1/8/1996;22:15
Atwater;;LIGHT;CA;8/1/1996 23:30;1/8/1996;23:30
Fishers;;CIRCLE;IN;8/2/1996 11:33;2/8/1996;11:33
Knoxville;;OVAL;IL;8/4/1996 7:00;4/8/1996;7:00
Pottstown;;TRIANGLE;PA;8/4/1996 19:30;4/8/1996;19:30
West Manchester;;VARIOUS;OH;8/7/1996 23:00;7/8/1996;23:00
West Manchester;RED;OVAL;OH;8/7/1996 23:00;7/8/1996;23:00
Tularosa;;SPHERE;NM;8/8/1996 20:30;8/8/1996;20:30
Ventnor;;CIRCLE;NJ;8/9/1996 19:00;9/8/1996;19:00
Wharton;;SPHERE;OH;8/10/1996 21:00;10/8/1996;21:00
George;;FORMATION;WA;8/10/1996 22:00;10/8/1996;22:00
Seattle;;TRIANGLE;WA;8/10/1996 22:45;10/8/1996;22:45
No. Hollywood;;SPHERE;CA;8/10/1996 23:00;10/8/1996;23:00
Kerman;;LIGHT;CA;8/10/1996 23:30;10/8/1996;23:30
Seattle;YELLOW;VARIOUS;WA;8/12/1996 0:30;12/8/1996;0:30
Cheektowaga;;DISK;NY;8/12/1996 13:00;12/8/1996;13:00
Bayview Jetty;;DISK;OR;8/12/1996 19:00;12/8/1996;19:00
Eureka;;LIGHT;CA;8/12/1996 22:00;12/8/1996;22:00
Texas;;SPHERE;TX;8/13/1996 16:45;13/8/1996;16:45
Burlington;;LIGHT;CT;8/15/1996 1:00;15/8/1996;1:00
Lubbock;RED BLUE;CIRCLE;TX;8/15/1996 1:00;15/8/1996;1:00
New Braunfels;;DISK;TX;8/15/1996 1:00;15/8/1996;1:00
Grand Rapids;;LIGHT;MI;8/15/1996 2:30;15/8/1996;2:30
Grand Rapids;RED;LIGHT;MI;8/15/1996 2:30;15/8/1996;2:30
Beeville;;LIGHT;TX;8/15/1996 3:00;15/8/1996;3:00
Gold Beach;;OTHER;OR;8/15/1996 12:00;15/8/1996;12:00
Greenwich;;RECTANGLE;CT;8/15/1996 14:00;15/8/1996;14:00
Bethel;;TRIANGLE;AK;8/15/1996 14:30;15/8/1996;14:30
Clymer;;OTHER;PA;8/15/1996 17:00;15/8/1996;17:00
Richwood;;FORMATION;WV;8/15/1996 19:00;15/8/1996;19:00
Beckley;;OTHER;WV;8/15/1996 20:30;15/8/1996;20:30
Centerport;;CROSS;NY;8/15/1996 21:30;15/8/1996;21:30
Lexington;;LIGHT;VA;8/15/1996 22:00;15/8/1996;22:00
Penrose;;OTHER;CO;8/15/1996 22:00;15/8/1996;22:00
Wellfleet;GREEN;TRIANGLE;MA;8/15/1996 22:00;15/8/1996;22:00
Plattsburg;RED;TRIANGLE;NY;8/15/1996 23:30;15/8/1996;23:30
Tecumseh;;VARIOUS;OK;8/16/1996 0:00;16/8/1996;0:00
Fairfield;;TRIANGLE;OH;8/16/1996 14:30;16/8/1996;14:30
Santa Barbara;;TRIANGLE;CA;8/16/1996 20:15;16/8/1996;20:15
Coon Rapids;;OTHER;MN;8/18/1996 3:18;18/8/1996;3:18
Ft. Wayne;;SPHERE;IN;8/18/1996 23:00;18/8/1996;23:00
Brewster;;DISK;MA;8/19/1996 5:20;19/8/1996;5:20
Spencer;;VARIOUS;SD;8/19/1996 22:30;19/8/1996;22:30
West Manchester;ORANGE;DISK;OH;8/20/1996 2:15;20/8/1996;2:15
Phoenix;;LIGHT;AZ;8/20/1996 20:30;20/8/1996;20:30
Owensville;;VARIOUS;MO;8/20/1996 23:30;20/8/1996;23:30
Osborne;;VARIOUS;KS;8/24/1996 1:30;24/8/1996;1:30
;;EGG;FL;8/24/1996 15:00;24/8/1996;15:00
Fort Collins;;LIGHT;CO;8/24/1996 21:00;24/8/1996;21:00
Bothell;;TRIANGLE;WA;8/28/1996 20:15;28/8/1996;20:15
Blacksburg;;SPHERE;VA;8/30/1996 19:00;30/8/1996;19:00
Coral Springs;;LIGHT;FL;9/1/1996 1:00;1/9/1996;1:00
Tuscaloosa;;DISK;AL;9/1/1996 17:00;1/9/1996;17:00
Concord;;DISK;MA;9/1/1996 18:00;1/9/1996;18:00
Ohio-Michigan border;;LIGHT;OH;9/1/1996 18:00;1/9/1996;18:00
New Holland;;VARIOUS;IL;9/1/1996 20:00;1/9/1996;20:00
Wattsburgh;;OTHER;PA;9/1/1996 21:00;1/9/1996;21:00
Fort Collins;;DISK;CO;9/1/1996 21:30;1/9/1996;21:30
Wabeno;;FIREBALL;WI;9/1/1996 22:30;1/9/1996;22:30
Wise;;OVAL;VA;9/1/1996 22:30;1/9/1996;22:30
Wanaque;;FORMATION;NJ;9/2/1996 19:50;2/9/1996;19:50
Belton;;TRIANGLE;MO;9/4/1996 21:30;4/9/1996;21:30
Faith;;TRIANGLE;NC;9/5/1996 1:00;5/9/1996;1:00
Snake River;;SPHERE;ID;9/5/1996 23:00;5/9/1996;23:00
Lake Shasta;;LIGHT;CA;9/6/1996 20:00;6/9/1996;20:00
Englewood Cliffs;;CHEVRON;NJ;9/6/1996 21:00;6/9/1996;21:00
Stockton;;OTHER;CA;9/7/1996 3:00;7/9/1996;3:00
West Manchester;ORANGE;TRIANGLE;OH;9/7/1996 10:50;7/9/1996;10:50
Savannah;;DISK;GA;9/9/1996 5:30;9/9/1996;5:30
San Francisco;;OVAL;CA;9/9/1996 8:30;9/9/1996;8:30
Siloam Springs;;TRIANGLE;AR;9/10/1996 23:45;10/9/1996;23:45
Arden Hills;;LIGHT;MN;9/11/1996 22:45;11/9/1996;22:45
Victorville;;DISK;CA;9/12/1996 11:00;12/9/1996;11:00
Kennewick;;OTHER;WA;9/12/1996 15:35;12/9/1996;15:35
York;;FLASH;PA;9/13/1996 2:30;13/9/1996;2:30
Austin;;TRIANGLE;TX;9/13/1996 20:30;13/9/1996;20:30
Des Moines;BLUE;DISK;IA;9/14/1996 18:00;14/9/1996;18:00
Battle Mountain;;DISK;NV;9/14/1996 20:00;14/9/1996;20:00
Smithville;;DISK;NJ;9/14/1996 20:30;14/9/1996;20:30
Salem;GREEN;TEARDROP;OR;9/15/1996 4:00;15/9/1996;4:00
La Mesa;RED;LIGHT;CA;9/15/1996 5:00;15/9/1996;5:00
Ironton;;SPHERE;OH;9/15/1996 10:30;15/9/1996;10:30
Solomans Island;;LIGHT;MD;9/15/1996 18:00;15/9/1996;18:00
Creston;;VARIOUS;WA;9/15/1996 20:45;15/9/1996;20:45
Forks;;VARIOUS;WA;9/15/1996 21:00;15/9/1996;21:00
Woodville;;TRIANGLE;AL;9/15/1996 21:00;15/9/1996;21:00
Madrid;RED;OTHER;NY;9/15/1996 22:00;15/9/1996;22:00
Trion;;TRIANGLE;GA;9/15/1996 22:30;15/9/1996;22:30
Georgtown;;DISK;CO;9/16/1996 6:15;16/9/1996;6:15
Arlington;;OVAL;MA;9/16/1996 18:00;16/9/1996;18:00
Concord;;OVAL;MA;9/16/1996 18:00;16/9/1996;18:00
Lee's Summit;RED;TRIANGLE;MO;9/17/1996 5:00;17/9/1996;5:00
Williamstown;;FORMATION;MA;9/17/1996 22:00;17/9/1996;22:00
Ann Arbor;;FIREBALL;MI;9/18/1996 0:20;18/9/1996;0:20
Avon Lake;;VARIOUS;OH;9/19/1996 21:30;19/9/1996;21:30
Coweta;;DISK;OK;9/20/1996 17:00;20/9/1996;17:00
Maxwell;;OTHER;CA;9/21/1996 21:30;21/9/1996;21:30
Denver;;LIGHT;CO;9/22/1996 1:00;22/9/1996;1:00
Pensacola;;CIGAR;FL;9/22/1996 21:00;22/9/1996;21:00
Smithport;;VARIOUS;PA;9/24/1996 13:00;24/9/1996;13:00
Cowen;;DISK;WV;9/26/1996 2:39;26/9/1996;2:39
Breckenridge;RED;VARIOUS;TX;9/26/1996 20:00;26/9/1996;20:00
Kelso;;VARIOUS;WA;9/29/1996 22:13;29/9/1996;22:13
Traverse City;;RECTANGLE;MI;9/30/1996 22:00;30/9/1996;22:00
Lake Berryessa;BLUE;SPHERE;CA;10/1/1996 1:00;1/10/1996;1:00
West Houston;;FORMATION;TX;10/1/1996 1:00;1/10/1996;1:00
Bainbridge;;TRIANGLE;OH;10/1/1996 5:30;1/10/1996;5:30
New York City;;OVAL;NY;10/1/1996 8:00;1/10/1996;8:00
Cupertino;;SPHERE;CA;10/1/1996 17:00;1/10/1996;17:00
Safford;;SPHERE;AZ;10/1/1996 18:00;1/10/1996;18:00
The Woodlands;ORANGE;FIREBALL;TX;10/1/1996 22:30;1/10/1996;22:30
Santa Fe;;RECTANGLE;NM;10/3/1996 20:00;3/10/1996;20:00
Crestone;;LIGHT;CO;10/3/1996 20:05;3/10/1996;20:05
Derby;;LIGHT;CT;10/3/1996 21:00;3/10/1996;21:00
Kansas City;BLUE;VARIOUS;KS;10/6/1996 3:40;6/10/1996;3:40
Duvall;;TRIANGLE;WA;10/6/1996 13:00;6/10/1996;13:00
San Francisco;;TRIANGLE;CA;10/6/1996 13:00;6/10/1996;13:00
New York City;;TRIANGLE;NY;10/6/1996 15:00;6/10/1996;15:00
Fire Island;;OTHER;NY;10/6/1996 22:00;6/10/1996;22:00
Deming;;OTHER;NM;10/9/1996 15:30;9/10/1996;15:30
Higginsville;;TRIANGLE;MO;10/10/1996 3:20;10/10/1996;3:20
Charleston;;LIGHT;SC;10/10/1996 22:00;10/10/1996;22:00
Monroe County;;CYLINDER;OH;10/10/1996 22:30;10/10/1996;22:30
Bismarck;;FORMATION;ND;10/11/1996 16:00;11/10/1996;16:00
Damascus;;LIGHT;VA;10/11/1996 22:00;11/10/1996;22:00
Reno;;TRIANGLE;NV;10/13/1996 3:19;13/10/1996;3:19
Gainesville;;CIRCLE;FL;10/13/1996 6:00;13/10/1996;6:00
Astoria;;CIRCLE;OR;10/13/1996 15:00;13/10/1996;15:00
Odessa;ORANGE;DIAMOND;TX;10/13/1996 19:47;13/10/1996;19:47
Encino;;TRIANGLE;CA;10/13/1996 20:00;13/10/1996;20:00
Gainesville;;CIRCLE;FL;10/14/1996 3:00;14/10/1996;3:00
San Mateo;;LIGHT;CA;10/15/1996 0:45;15/10/1996;0:45
Austin;;TRIANGLE;TX;10/15/1996 3:00;15/10/1996;3:00
Cazadero;;VARIOUS;CA;10/15/1996 3:00;15/10/1996;3:00
Milwaukee;RED;TRIANGLE;WI;10/15/1996 15:00;15/10/1996;15:00
Delano;;OTHER;TN;10/15/1996 18:00;15/10/1996;18:00
Blaine;RED;SPHERE;OR;10/15/1996 20:30;15/10/1996;20:30
Roanoke;;VARIOUS;VA;10/15/1996 23:00;15/10/1996;23:00
Roanoke;RED;TRIANGLE;VA;10/15/1996 23:00;15/10/1996;23:00
Memphis;;VARIOUS;TN;10/18/1996 23:30;18/10/1996;23:30
Tipton;;SPHERE;IN;10/20/1996 11:18;20/10/1996;11:18
Wichita;RED;LIGHT;KS;10/20/1996 18:20;20/10/1996;18:20
Odessa;;DIAMOND;TX;10/20/1996 20:20;20/10/1996;20:20
Springfield;;TRIANGLE;OH;10/24/1996 9:18;24/10/1996;9:18
Lake Charles;;VARIOUS;LA;10/25/1996 2:00;25/10/1996;2:00
Laurel;;VARIOUS;MD;10/25/1996 11:08;25/10/1996;11:08
Newport Beach;;VARIOUS;CA;10/26/1996 2:00;26/10/1996;2:00
Marksville;;TRIANGLE;LA;10/26/1996 20:30;26/10/1996;20:30
Manchester;;DIAMOND;NH;10/28/1996 14:00;28/10/1996;14:00
Pittsburgh;BLUE;DISK;PA;10/30/1996 7:30;30/10/1996;7:30
Goose Creek;;CIGAR;SC;10/30/1996 16:00;30/10/1996;16:00
Rose Hill;RED;LIGHT;KS;10/30/1996 18:50;30/10/1996;18:50
Richmond;;TRIANGLE;OH;10/30/1996 19:30;30/10/1996;19:30
Kokomo;RED;VARIOUS;IN;10/30/1996 22:25;30/10/1996;22:25
Boerne;;VARIOUS;TX;10/31/1996 2:15;31/10/1996;2:15
Murfreesboro;;CIRCLE;TN;10/31/1996 9:00;31/10/1996;9:00
Rockford;;FLASH;MI;10/31/1996 22:00;31/10/1996;22:00
Wichita;;LIGHT;KS;10/31/1996 22:00;31/10/1996;22:00
Vilonia;;CYLINDER;AR;11/1/1996 12:00;1/11/1996;12:00
Merrimac;;TRIANGLE;MA;11/1/1996 19:00;1/11/1996;19:00
Chillicothe;;OTHER;OH;11/1/1996 21:00;1/11/1996;21:00
Federal Way;;CIRCLE;WA;11/1/1996 23:00;1/11/1996;23:00
Reno to Dallas;BLUE;TRIANGLE;TX;11/2/1996 2:00;2/11/1996;2:00
New Albany;;VARIOUS;PA;11/2/1996 5:00;2/11/1996;5:00
Longmont;;VARIOUS;CO;11/3/1996 18:55;3/11/1996;18:55
San Jose;;FORMATION;IL;11/6/1996 17:00;6/11/1996;17:00
Seattle;;SPHERE;WA;11/7/1996 23:30;7/11/1996;23:30
Canyonville;;DISK;OR;11/9/1996 2:00;9/11/1996;2:00
Plymouth;;TRIANGLE;IN;11/9/1996 12:00;9/11/1996;12:00
no data;;TRIANGLE;NV;11/12/1996 1:00;12/11/1996;1:00
Donnelly;;TRIANGLE;ID;11/12/1996 22:30;12/11/1996;22:30
Hesperia;;TRIANGLE;CA;11/13/1996 19:45;13/11/1996;19:45
Seminole;;TRIANGLE;FL;11/13/1996 23:30;13/11/1996;23:30
Harrisburg;;LIGHT;PA;11/13/1996 23:56;13/11/1996;23:56
Corvallis;;SPHERE;MT;11/14/1996 14:15;14/11/1996;14:15
Salem;RED;VARIOUS;OR;11/14/1996 18:20;14/11/1996;18:20
Hobe Sound;;FIREBALL;FL;11/14/1996 19:00;14/11/1996;19:00
Harker Heights;;LIGHT;TX;11/15/1996 10:21;15/11/1996;10:21
Lincoln;;DIAMOND;NE;11/15/1996 17:00;15/11/1996;17:00
Blossburg;;VARIOUS;PA;11/15/1996 20:30;15/11/1996;20:30
Lima;;LIGHT;OH;11/15/1996 20:50;15/11/1996;20:50
Albuquerque;;SPHERE;NM;11/15/1996 22:30;15/11/1996;22:30
Gorman VOR;;VARIOUS;CA;11/16/1996 0:00;16/11/1996;0:00
Las Vegas;;LIGHT;NV;11/16/1996 16:30;16/11/1996;16:30
Canton;;LIGHT;PA;11/16/1996 21:30;16/11/1996;21:30
Silver Spring;;TRIANGLE;MD;11/16/1996 21:30;16/11/1996;21:30
Bandy;;VARIOUS;NY;11/16/1996 22:00;16/11/1996;22:00
Riverside;;VARIOUS;NJ;11/16/1996 22:00;16/11/1996;22:00
Lake City;;VARIOUS;WA;11/16/1996 22:15;16/11/1996;22:15
Frostburg;;VARIOUS;MD;11/16/1996 23:10;16/11/1996;23:10
Jacksonville;BLUE;VARIOUS;FL;11/16/1996 23:10;16/11/1996;23:10
New York City;;VARIOUS;NY;11/16/1996 23:10;16/11/1996;23:10
Odessa;;VARIOUS;NY;11/16/1996 23:10;16/11/1996;23:10
Reading;BLUE;VARIOUS;PA;11/16/1996 23:13;16/11/1996;23:13
Greenwich;YELLOW;VARIOUS;CT;11/16/1996 23:14;16/11/1996;23:14
Frostburg;YELLOW GREEN;VARIOUS;MD;11/16/1996 23:15;16/11/1996;23:15
Greenwich;;VARIOUS;CT;11/16/1996 23:15;16/11/1996;23:15
Watkins Glen;GREEN;VARIOUS;NY;11/16/1996 23:20;16/11/1996;23:20
Mansfield;ORANGE;ROUND;PA;11/16/1996 23:23;16/11/1996;23:23
Grandview;;VARIOUS;MO;11/17/1996 0:00;17/11/1996;0:00
Arcadia;;VARIOUS;CA;11/17/1996 2:30;17/11/1996;2:30
Big Flats;;VARIOUS;NY;11/17/1996 4:30;17/11/1996;4:30
Las Vegas;;LIGHT;NV;11/17/1996 21:00;17/11/1996;21:00
Middleville;;VARIOUS;MI;11/19/1996 23:05;19/11/1996;23:05
Los Angeles;;VARIOUS;CA;11/20/1996 0:00;20/11/1996;0:00
Wilmington;;DIAMOND;NC;11/20/1996 0:00;20/11/1996;0:00
Surfside;;DIAMOND;TX;11/20/1996 8:00;20/11/1996;8:00
Parma;;CIRCLE;OH;11/20/1996 21:30;20/11/1996;21:30
North Port;;VARIOUS;FL;11/20/1996 22:30;20/11/1996;22:30
Stamping Ground;;TRIANGLE;KY;11/23/1996 2:15;23/11/1996;2:15
French Camp;;VARIOUS;CA;11/23/1996 19:30;23/11/1996;19:30
Stockton;;VARIOUS;CA;11/23/1996 20:45;23/11/1996;20:45
Kingsville;;VARIOUS;OH;11/23/1996 21:40;23/11/1996;21:40
Poway;;VARIOUS;CA;11/24/1996 4:50;24/11/1996;4:50
Bismarck;;LIGHT;ND;11/24/1996 18:07;24/11/1996;18:07
Bismarck;ORANGE;VARIOUS;ND;11/24/1996 19:30;24/11/1996;19:30
Miami;;LIGHT;FL;11/24/1996 21:00;24/11/1996;21:00
Monterey;;VARIOUS;CA;11/25/1996 20:00;25/11/1996;20:00
Arnolds Park;;TRIANGLE;IA;11/25/1996 22:15;25/11/1996;22:15
Daytona Beach;YELLOW;DISK;FL;11/26/1996 3:20;26/11/1996;3:20
Bloomsburg;ORANGE;TEARDROP;PA;11/26/1996 9:00;26/11/1996;9:00
Poteau;;TRIANGLE;OK;11/26/1996 20:25;26/11/1996;20:25
Graham County;;VARIOUS;NC;11/27/1996 0:00;27/11/1996;0:00
Seattle;GREEN;VARIOUS;WA;11/27/1996 19:30;27/11/1996;19:30
Millington;;CHEVRON;TN;11/27/1996 20:00;27/11/1996;20:00
Bellevue;;VARIOUS;WA;11/28/1996 21:00;28/11/1996;21:00
